Detroit Metropolitan Wayne County Airport,Charlotte Douglas International Airport,805.6961397417945
Detroit Metropolitan Wayne County Airport,Ronald Reagan Washington National Airport,651.2499277173057
Detroit Metropolitan Wayne County Airport,La Guardia Airport,805.1348368055876
Detroit Metropolitan Wayne County Airport,Miami International Airport,1847.0804967090644
Detroit Metropolitan Wayne County Airport,Chicago O'Hare International Airport,376.38863237814496
Detroit Metropolitan Wayne County Airport,Philadelphia International Airport,728.0522353255224
Detroit Metropolitan Wayne County Airport,Phoenix Sky Harbor International Airport,2683.9796496758563
Washington Dulles International Airport,Charlotte Douglas International Airport,517.3710647217257
Washington Dulles International Airport,Los Angeles International Airport,3674.030177247211
Washington Dulles International Airport,Miami International Airport,1486.1629529026463
George Bush Intercontinental Houston Airport,Charlotte Douglas International Airport,1466.8967049032815
George Bush Intercontinental Houston Airport,Los Angeles International Airport,2215.073482801463
George Bush Intercontinental Houston Airport,Miami International Airport,1549.4055481762323
George Bush Intercontinental Houston Airport,Chicago O'Hare International Airport,1490.6518827216926
George Bush Intercontinental Houston Airport,Philadelphia International Airport,2129.4835092014905
George Bush Intercontinental Houston Airport,Phoenix Sky Harbor International Airport,1620.9657588500297
John F Kennedy International Airport,General Edward Lawrence Logan International Airport,300.17797708950224
John F Kennedy International Airport,Baltimore/Washington International Thurgood Marshall Airport,295.3609443349576
John F Kennedy International Airport,Charlotte Douglas International Airport,870.5292109233396
John F Kennedy International Airport,Ronald Reagan Washington National Airport,342.2182043046061
John F Kennedy International Airport,Los Angeles International Airport,3974.1967108791946
John F Kennedy International Airport,Orlando International Airport,1521.3886141530445
John F Kennedy International Airport,Miami International Airport,1757.1215161369057
John F Kennedy International Airport,Chicago O'Hare International Airport,1187.8355870120465
John F Kennedy International Airport,Phoenix Sky Harbor International Airport,3458.1190636738716
John F Kennedy International Airport,San Diego International Airport,3928.0376007522036
John F Kennedy International Airport,Seattle Tacoma International Airport,3886.637904486668
John F Kennedy International Airport,San Francisco International Airport,4151.78626192503
John F Kennedy International Airport,Tampa International Airport,1619.5243554558733
Los Angeles International Airport,General Edward Lawrence Logan International Airport,4193.0290874600705
Los Angeles International Airport,Charlotte Douglas International Airport,3412.534185671667
Los Angeles International Airport,Ronald Reagan Washington National Airport,3710.8987094334307
Los Angeles International Airport,Denver International Airport,1385.1392038077977
Los Angeles International Airport,Washington Dulles International Airport,3674.030177247211
Los Angeles International Airport,George Bush Intercontinental Houston Airport,2215.073482801463
